X,Y,Z,constraint_1,constraint_2
2.3,1.5,613.9674,2,0.5
2.3,1.5,617.3506,4,0.5
2.3,1.5,620.6472,6,0.5
2.3,1.5,624.0219,8,0.5
2.3,1.5,627.4112,10,0.5
2.3,1.5,630.928,12,0.5
2.3,1.5,634.875,14,0.5
2.3,1.5,617.253,2,0.6
2.3,1.5,620.455,4,0.6
2.3,1.5,623.6319,6,0.6
2.3,1.5,626.7847,8,0.6
2.3,1.5,629.9347,10,0.6
2.3,1.5,633.0485,12,0.6
2.3,1.5,636.203,14,0.6
2.3,1.5,619.4767,2,0.7
2.3,1.5,622.4349,4,0.7
2.3,1.5,625.4726,6,0.7
2.3,1.5,628.5241,8,0.7
2.3,1.5,631.3732,10,0.7
2.3,1.5,634.0825,12,0.7
2.3,1.5,636.756,14,0.7
2.3,1.5,620.6963,2,0.8
2.3,1.5,623.7954,4,0.8
2.3,1.5,626.5138,6,0.8
2.3,1.5,629.2657,8,0.8
2.3,1.5,631.961,10,0.8
2.3,1.5,634.3333,12,0.8
2.3,1.5,636.5713,14,0.8
2.3,1.5,621.1225,2,0.9
2.3,1.5,623.8833,4,0.9
2.3,1.5,626.6187,6,0.9
2.3,1.5,629.266,8,0.9
2.3,1.5,631.7902,10,0.9
2.3,1.5,634.1244,12,0.9
2.3,1.5,636.2792,14,0.9
2.3,1.65,594.9732,2,0.2
2.3,1.65,599.0167,4,0.2
2.3,1.65,603.348,6,0.2
2.3,1.65,607.7163,8,0.2
2.3,1.65,612.3011,10,0.2
2.3,1.65,616.9111,12,0.2
2.3,1.65,623.6356,14,0.2
2.3,1.65,604.8394,2,0.3
2.3,1.65,608.6001,4,0.3
2.3,1.65,612.4528,6,0.3
2.3,1.65,616.0058,8,0.3
2.3,1.65,620.1949,10,0.3
2.3,1.65,624.9077,12,0.3
2.3,1.65,611.6989,2,0.4
2.3,1.65,615.201,4,0.4
2.3,1.65,618.7809,6,0.4
2.3,1.65,622.4902,8,0.4
2.3,1.65,626.14,10,0.4
2.3,1.65,630.3239,12,0.4
2.3,1.65,634.875,14,0.4
2.3,1.65,616.8904,2,0.5
2.3,1.65,620.121,4,0.5
2.3,1.65,623.477,6,0.5
2.3,1.65,627.0323,8,0.5
2.3,1.65,630.571,10,0.5
2.3,1.65,634.3744,12,0.5
2.3,1.65,638.5018,14,0.5
2.3,1.65,620.4287,2,0.6
2.3,1.65,623.6773,4,0.6
2.3,1.65,626.8073,6,0.6
2.3,1.65,630.1051,8,0.6
2.3,1.65,633.4366,10,0.6
2.3,1.65,636.805,12,0.6
2.3,1.65,640.5591,14,0.6
2.3,1.65,622.9806,2,0.7
2.3,1.65,626.0406,4,0.7
2.3,1.65,629.1322,6,0.7
2.3,1.65,632.1282,8,0.7
2.3,1.65,635.1249,10,0.7
2.3,1.65,638.1784,12,0.7
2.3,1.65,641.2302,14,0.7
2.3,1.65,624.2991,2,0.8
2.3,1.65,627.2056,4,0.8
2.3,1.65,630.2379,6,0.8
2.3,1.65,633.0046,8,0.8
2.3,1.65,635.87,10,0.8
2.3,1.65,638.5657,12,0.8
2.3,1.65,640.7648,14,0.8
2.3,1.65,624.7126,2,0.9
2.3,1.65,627.5139,4,0.9
2.3,1.65,630.3046,6,0.9
2.3,1.65,633.0047,8,0.9
2.3,1.65,635.6357,10,0.9
2.3,1.65,638.2748,12,0.9
2.3,1.65,640.2438,14,0.9
2.3,1.8,594.2924,2,0.2
2.3,1.8,598.143,4,0.2
2.3,1.8,602.2783,6,0.2
2.3,1.8,606.6374,8,0.2
2.3,1.8,611.0003,10,0.2
2.3,1.8,616.4022,12,0.2
2.3,1.8,620.2167,14,0.2
2.3,1.8,605.3406,2,0.3
2.3,1.8,609.0635,4,0.3
2.3,1.8,612.3054,6,0.3
2.3,1.8,616.0977,8,0.3
2.3,1.8,620.3434,10,0.3
2.3,1.8,625.036,12,0.3
2.3,1.8,629.8241,14,0.3
2.3,1.8,612.8205,2,0.4
2.3,1.8,616.3235,4,0.4
2.3,1.8,619.9499,6,0.4
2.3,1.8,623.5998,8,0.4
2.3,1.8,627.2538,10,0.4
2.3,1.8,631.2205,12,0.4
2.3,1.8,638.0497,14,0.4
2.3,1.8,618.3889,2,0.5
2.3,1.8,621.7135,4,0.5
2.3,1.8,625.1358,6,0.5
2.3,1.8,628.6696,8,0.5
2.3,1.8,632.3886,10,0.5
2.3,1.8,636.2263,12,0.5
2.3,1.8,640.4131,14,0.5
2.3,1.8,622.4086,2,0.6
2.3,1.8,625.726,4,0.6
2.3,1.8,628.8985,6,0.6
2.3,1.8,632.2956,8,0.6
2.3,1.8,635.693,10,0.6
2.3,1.8,639.4509,12,0.6
2.3,1.8,643.2881,14,0.6
2.3,1.8,625.1295,2,0.7
2.3,1.8,628.2484,4,0.7
2.3,1.8,631.3734,6,0.7
2.3,1.8,634.5067,8,0.7
2.3,1.8,637.669,10,0.7
2.3,1.8,641.0501,12,0.7
2.3,1.8,644.2992,14,0.7
2.3,1.8,626.7461,2,0.8
2.3,1.8,629.6807,4,0.8
2.3,1.8,632.7457,6,0.8
2.3,1.8,635.5856,8,0.8
2.3,1.8,638.5322,10,0.8
2.3,1.8,641.3165,12,0.8
2.3,1.8,643.9895,14,0.8
2.3,1.8,627.1258,2,0.9
2.3,1.8,629.952,4,0.9
2.3,1.8,632.7709,6,0.9
2.3,1.8,635.5427,8,0.9
2.3,1.8,638.2472,10,0.9
2.3,1.8,640.8726,12,0.9
2.3,1.8,643.2001,14,0.9
2.3,1.9,593.5816,2,0.2
2.3,1.9,597.534,4,0.2
2.3,1.9,601.5552,6,0.2
2.3,1.9,605.4717,8,0.2
2.3,1.9,609.9545,10,0.2
2.3,1.9,614.2379,12,0.2
2.3,1.9,617.0533,14,0.2
2.3,1.9,605.3033,2,0.3
2.3,1.9,608.8829,4,0.3
2.3,1.9,612.0196,6,0.3
2.3,1.9,615.887,8,0.3
2.3,1.9,619.6775,10,0.3
2.3,1.9,625.5343,12,0.3
2.3,1.9,627.6105,14,0.3
2.3,1.9,613.2062,2,0.4
2.3,1.9,616.709,4,0.4
2.3,1.9,620.2017,6,0.4
2.3,1.9,623.8771,8,0.4
2.3,1.9,627.4108,10,0.4
2.3,1.9,631.6644,12,0.4
2.3,1.9,636.3041,14,0.4
2.3,1.9,619.0734,2,0.5
2.3,1.9,622.4113,4,0.5
2.3,1.9,625.846,6,0.5
2.3,1.9,629.342,8,0.5
2.3,1.9,633.0835,10,0.5
2.3,1.9,636.8703,12,0.5
2.3,1.9,643.5601,14,0.5
2.3,1.9,623.2753,2,0.6
2.3,1.9,626.6299,4,0.6
2.3,1.9,629.8544,6,0.6
2.3,1.9,633.189,8,0.6
2.3,1.9,636.7975,10,0.6
2.3,1.9,640.6199,12,0.6
2.3,1.9,644.5486,14,0.6
2.3,1.9,626.3023,2,0.7
2.3,1.9,629.2743,4,0.7
2.3,1.9,632.4423,6,0.7
2.3,1.9,635.6478,8,0.7
2.3,1.9,638.9634,10,0.7
2.3,1.9,642.4789,12,0.7
2.3,1.9,645.8418,14,0.7
2.3,1.9,627.9473,2,0.8
2.3,1.9,630.9166,4,0.8
2.3,1.9,633.83,6,0.8
2.3,1.9,636.884,8,0.8
2.3,1.9,639.9171,10,0.8
2.3,1.9,642.9792,12,0.8
2.3,1.9,645.5644,14,0.8
2.3,1.9,628.318,2,0.9
2.3,1.9,631.184,4,0.9
2.3,1.9,634.0148,6,0.9
2.3,1.9,636.8315,8,0.9
2.3,1.9,639.556,10,0.9
2.3,1.9,642.2377,12,0.9
2.3,1.9,645.0364,14,0.9
2.4,1.4,597.7953,2,0.2
2.4,1.4,601.7622,4,0.2
2.4,1.4,606.5845,6,0.2
2.4,1.4,610.2876,8,0.2
2.4,1.4,614.6544,10,0.2
2.4,1.4,619.2007,12,0.2
2.4,1.4,624.2881,14,0.2
2.4,1.4,605.6022,2,0.3
2.4,1.4,609.435,4,0.3
2.4,1.4,613.0747,6,0.3
2.4,1.4,616.8771,8,0.3
2.4,1.4,620.8147,10,0.3
2.4,1.4,624.4979,12,0.3
2.4,1.4,628.9104,14,0.3
2.4,1.4,610.9209,2,0.4
2.4,1.4,614.4652,4,0.4
2.4,1.4,617.8926,6,0.4
2.4,1.4,621.3847,8,0.4
2.4,1.4,625.2949,10,0.4
2.4,1.4,628.5095,12,0.4
2.4,1.4,632.2059,14,0.4
2.4,1.4,615.0278,2,0.5
2.4,1.4,618.2604,4,0.5
2.4,1.4,621.3793,6,0.5
2.4,1.4,624.6696,8,0.5
2.4,1.4,627.9781,10,0.5
2.4,1.4,631.2469,12,0.5
2.4,1.4,634.5003,14,0.5
2.4,1.4,617.939,2,0.6
2.4,1.4,620.9946,4,0.6
2.4,1.4,624.1244,6,0.6
2.4,1.4,627.0986,8,0.6
2.4,1.4,630.0793,10,0.6
2.4,1.4,632.8947,12,0.6
2.4,1.4,635.6805,14,0.6
2.4,1.4,619.6323,2,0.7
2.4,1.4,622.5586,4,0.7
2.4,1.4,625.7063,6,0.7
2.4,1.4,628.4868,8,0.7
2.4,1.4,631.17,10,0.7
2.4,1.4,633.8419,12,0.7
2.4,1.4,636.0548,14,0.7
2.4,1.4,620.7733,2,0.8
2.4,1.4,623.6018,4,0.8
2.4,1.4,626.5374,6,0.8
2.4,1.4,629.1538,8,0.8
2.4,1.4,631.6627,10,0.8
2.4,1.4,634.0269,12,0.8
2.4,1.4,635.9683,14,0.8
2.4,1.4,621.0094,2,0.9
2.4,1.4,623.7199,4,0.9
2.4,1.4,626.5163,6,0.9
2.4,1.4,629.0474,8,0.9
2.4,1.4,631.5497,10,0.9
2.4,1.4,633.8564,12,0.9
2.4,1.4,635.8102,14,0.9
2.4,1.5,599.4581,2,0.2
2.4,1.5,603.7644,4,0.2
2.4,1.5,608.5584,6,0.2
2.4,1.5,612.249,8,0.2
2.4,1.5,617.1186,10,0.2
2.4,1.5,621.1219,12,0.2
2.4,1.5,626.2463,14,0.2
2.4,1.5,608.0446,2,0.3
2.4,1.5,611.6729,4,0.3
2.4,1.5,615.5134,6,0.3
2.4,1.5,619.3845,8,0.3
2.4,1.5,623.3269,10,0.3
2.4,1.5,627.2402,12,0.3
2.4,1.5,631.7194,14,0.3
2.4,1.5,613.7698,2,0.4
2.4,1.5,617.1596,4,0.4
2.4,1.5,620.8211,6,0.4
2.4,1.5,624.2858,8,0.4
2.4,1.5,628.0131,10,0.4
2.4,1.5,631.7222,12,0.4
2.4,1.5,635.8036,14,0.4
2.4,1.5,618.0589,2,0.5
2.4,1.5,621.4081,4,0.5
2.4,1.5,624.5863,6,0.5
2.4,1.5,628.0224,8,0.5
2.4,1.5,631.4123,10,0.5
2.4,1.5,634.875,12,0.5
2.4,1.5,638.2545,14,0.5
2.4,1.5,621.1292,2,0.6
2.4,1.5,624.2896,4,0.6
2.4,1.5,627.4444,6,0.6
2.4,1.5,630.584,8,0.6
2.4,1.5,633.6994,10,0.6
2.4,1.5,636.7359,12,0.6
2.4,1.5,639.4989,14,0.6
2.4,1.5,623.1726,2,0.7
2.4,1.5,626.1562,4,0.7
2.4,1.5,629.1266,6,0.7
2.4,1.5,632.0605,8,0.7
2.4,1.5,634.875,10,0.7
2.4,1.5,637.7027,12,0.7
